FPA,,,,卡方,FBESFPA_TS,,CFPA,
ALL-AML,,,,,ALL-AML,ALL-AML,,ALL-AML
188,0.921545045,,,,188,0.999995792,,0.884483167
189,0.921545045,,,,189,0.999995792,,0.906481765
190,0.921545045,,,,190,0.999995792,,0.906481765
191,0.922920045,,,,191,0.999995792,,0.906481765
192,0.922920045,,,,192,0.999995792,,0.906481765
193,0.931168642,,,,193,0.999995792,,0.906481765
194,0.935292239,,,,194,0.999995792,,0.906481765
195,0.933917239,,,,195,0.999995792,,0.905106765
196,0.933917239,,,,196,0.999995792,,0.905106765
197,0.938042239,,,,197,0.999995792,,0.905106765
198,0.938042239,,,,198,0.999995792,,0.905106765
199,0.938042239,,,,199,0.999995792,,0.905106765
200,0.938042239,,,,200,0.999995792,,0.905106765
,,,,,,,,0.905106765
,,,,,,,,0.905106765
,,,,,,,,0.905106765
,,,,,,,,0.905106765
,,,,,,,,0.905106765
,,,,,,,,0.905106765
,,,,,,,,0.905106765
,,,,,,,,0.905106765
,,,,,,,,0.905106765
,,,,,,,,0.905106765
,,,,,,,,0.905106765
,,,,,,,,0.905106765
,,,,,,,,0.905106765
,,,,,,,,0.905106765
,,,,,,,,0.905106765
,,,,,,,,0.905106765
,,,,,,,,0.905106765
,,,,,,,,0.905106765
,,,,,,,,0.905106765
,,,,,,,,0.905106765
,,,,,,,,0.905106765
,,,,,,,,0.905106765
,,,,,,,,0.905106765
,,,,,,,,0.905106765
,,,,,,,,0.905106765
,,,,,,,,0.905106765
,,,,,,,,0.905106765
,,,,,,,,0.905106765
,,,,,,,,0.905106765
,,,,,,,,0.905106765
,,,,,,,,0.905106765
,,,,,,,,0.905106765
,,,,,,,,0.905106765
,,,,,,,,0.905106765
,,,,,,,,0.905106765
,,,,,,,,0.905106765
,,,,,,,,0.907856765
,,,,,,,,0.907856765
,,,,,,,,0.907856765
,,,,,,,,0.907856765
,,,,,,,,0.907856765
,,,,,,,,0.907856765
,,,,,,,,0.907856765
,,,,,,,,0.907856765
,,,,,,,,0.907856765
,,,,,,,,0.907856765
,,,,,,,,0.907856765
,,,,,,,,0.907856765
,,,,,,,,0.907856765
,,,,,,,,0.907856765
,,,,,,,,0.907856765
,,,,,,,,0.907856765
,,,,,,,,0.907856765
,,,,,,,,0.907856765
,,,,,,,,0.907856765
,,,,,,,,0.907856765
,,,,,,,,0.906481765
,,,,,,,,0.906481765
,,,,,,,,0.906481765
,,,,,,,,0.906481765
,,,,,,,,0.906481765
,,,,,,,,0.906481765
,,,,,,,,0.906481765
,,,,,,,,0.906481765
,,,,,,,,0.906481765
,,,,,,,,0.906481765
,,,,,,,,0.906481765
,,,,,,,,0.906481765
,,,,,,,,0.906481765
,,,,,,,,0.906481765
,,,,,,,,0.906481765
,,,,,,,,0.906481765
,,,,,,,,0.906481765
,,,,,,,,0.905106765
,,,,,,,,0.905106765
,,,,,,,,0.905106765
,,,,,,,,0.906481765
,,,,,,,,0.906481765
,,,,,,,,0.906481765
,,,,,,,,0.906481765
,,,,,,,,0.906481765
,,,,,,,,0.906481765
,,,,,,,,0.906481765
,,,,,,,,0.906481765
,,,,,,,,0.906481765
,,,,,,,,0.906481765
,,,,,,,,0.906481765
,,,,,,,,0.906481765
,,,,,,,,0.906481765
,,,,,,,,0.906481765
,,,,,,,,0.906481765
,,,,,,,,0.906481765
,,,,,,,,0.906481765
,,,,,,,,0.906481765
,,,,,,,,0.906481765
,,,,,,,,0.900980362
,,,,,,,,0.900980362
